PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
675138	CHEMBL1201187	Maraviroc (FDA, INN)	4	UK-427857	Viiv Healthcare Co	-viroc	antivirals: CCR5 antagonists	-viroc		2007	J05AX09	J05AX09 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Other antivirals]		Synthetic Small Molecule	N	Y	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	CC(C)c1nnc(C)n1[C@@H]2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5
20027	CHEMBL121	Rosiglitazone (BAN, INN); Rosiglitazone Maleate (USAN, FDA)	4	BRL-49653; BRL-49653-C; BRL-49653C	Sb Pharmco Puerto Rico Inc	-glitazone	PPST agonists (thiazolidene derivatives)	-glitazone	1997	1999	A10BG02	A10BG02 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Thiazolidinediones]	Antidiabetic	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	Y	Prescription-only	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3
19737	CHEMBL595	Pioglitazone (BAN, INN); Pioglitazone HCl (USAN, FDA)	4	U-72107A	Takeda Pharmaceuticals Usa Inc	-glitazone	PPST agonists (thiazolidene derivatives)	-glitazone	1989	1999	A10BG03	A10BG03 [Alimentary Tract And Metabolism:Drugs Used In Diabetes:Blood Glucose Lowering Drugs, Excl. Insulins:Thiazolidinediones]	Antidiabetic	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	Y	Prescription-only	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
52087	CHEMBL806	Flutamide (BAN, FDA, INN, USAN, USP)	4	SCH-13521	Schering Corp Sub Schering Plough Corp	-lutamide	non-steroid antiandrogens	-lutamide	1975	1989	L02BB01	L02BB01 [Antineoplastic And Immunomodulating Agents:Endocrine Therapy:Hormone Antagonists And Related Agents:Anti-androgens]		Synthetic Small Molecule	Y	N	Achiral Molecule	Y	Y	N	N	Y	Prescription-only	CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]
421326	CHEMBL1520	Vardenafil (BAN, INN); Vardenafil HCl (FDA); Vardenafil Dihydrochloride (USAN)	4		Bayer Healthcare Pharmaceuticals Inc; Bayer	-afil	PDE5 inhibitors	-afil	2001	2003	G04BE09	G04BE09 [Genito Urinary System And Sex Hormones:Urologicals:Urologicals:Drugs used in erectile dysfunction]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CCCc1nc(C)c2C(=O)N=C(Nn12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4
716337	CHEMBL1289926	Axitinib (FDA, INN, USAN)	4	AG-013736; AG-13736	Pfizer Inc	-tinib	tyrosine kinase inhibitors	-tinib	2005	2012	L01XE17	L01XE17 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2
6968	CHEMBL83	Tamoxifen (BAN, INN); Tamoxifen Citrate (JAN, USAN, USP, FDA)	4	ICI-46474	Dara Biosciences Inc; Astrazeneca Pharmaceuticals Lp	-ifen(e)	antiestrogens of the clomifene and tamoxifen groups	-ifen(e)	1976	1977	L02BA01	L02BA01 [Antineoplastic And Immunomodulating Agents:Endocrine Therapy:Hormone Antagonists And Related Agents:Anti-estrogens]	Anti-Estrogen	Synthetic Small Molecule	N	N	Achiral Molecule	Y	Y	N	N	Y	Prescription-only	CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3
14785	CHEMBL553	Erlotinib HCl (FDA, INN, USAN); Erlotinib (INN)	4	CP-35877401; CP-358774-01; OSI-774	Osi Pharmaceuticals Inc	-tinib	tyrosine kinase inhibitors	-tinib	2001	2004	L01XE03	L01XE03 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
8531	CHEMBL499	Timolol (BAN, FDA, INN, USAN); Timolol Maleate (FDA, USP, JAN, USAN)	4		Ista Pharmaceuticals; Falcon Pharmaceuticals Ltd; Aton Pharma Inc; Allergan Inc; Santen Oy	-olol	beta-blockers (propranolol type)	-olol	1973	1978	S01ED51; C07AA06; S01ED01	S01ED51 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Beta blocking agents1)]; C07AA06 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, non-selective]; S01ED01 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Beta blocking agents1)]	Anti-Adrenergic (beta-receptor)	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	Y	Y	Prescription-only	CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2
11305	CHEMBL98	Vorinostat (FDA, INN, USAN)	4		Merck And Co Inc	-stat	enzyme inhibitors: inhibitors of histone deacetylase	-stat (-inostat)	2005	2006	L01XX38	L01XX38 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Other antineoplastic agents]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	ONC(=O)CCCCCCC(=O)Nc1ccccc1
1277553	CHEMBL1946170	Regorafenib (FDA, INN, USAN)	4	BAY-73-4506; BAY-734506 monohydrate	Bayer Healthcare Pharmaceuticals Inc	-rafenib	raf kinase inhibitors	-rafenib	2011	2012	L01XE21	L01XE21 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1
480746	CHEMBL1639	Aliskiren (USAN, INN); Aliskiren Fumarate (USAN); Aliskiren hemifumarate (FDA)	4	SPP100	Novartis Pharmaceuticals Corp	-kiren	renin inhibitors	-kiren	2005	2007	C09XA02	C09XA02 [Cardiovascular System:Agents Acting On The Renin-Angiotensin System:Other Agents Acting On The Renin-Angiotensin System:Renin-inhibitors]		Synthetic Small Molecule	N	Y	Single Stereoisomer	N	Y	N	N	Y	Prescription-only	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)C(C)C)ccc1OC
96107	CHEMBL973	Teriflunomide (FDA, INN, USAN)	4	HMR-1726	Sanofi Aventis Us Llc				2011	2012	L04AA31	L04AA31 [Antineoplastic And Immunomodulating Agents:Immunosuppressants:Immunosuppressants:Selective immunosuppressants]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	C\C(=C(/C#N)\C(=O)Nc1ccc(cc1)C(F)(F)F)\O
32869	CHEMBL701	Baclofen (BAN, FDA, INN, JAN, USAN, USP)	4	BA-34647	Ucb Inc; Novartis Pharmaceuticals Corp; Medtronic Inc; Cns Therapeutics Inc				1971	1977	M03BX01	M03BX01 [Musculo-Skeletal System:Muscle Relaxants:Muscle Relaxants, Centrally Acting Agents:Other centrally acting agents]	Relaxant (muscle)	Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	Y	N	Y	Prescription-only	NCC(CC(=O)O)c1ccc(Cl)cc1
