# 2014/04/28 - 13:26
SP_PRIMARY,PDB
P0A6V9,1q18;1sz2
P0A6W5,1grj
P0A6W9,1v4g;1va6;2d32;2d33
P0A6X3,1hk9;2y90;2yht;3gib;3qhs;3qo3;3rer;3res;3vu3;4jri;4jrk;4juv
P0A6X7,1ihf;1ouz;1owf;1owg;2ht0;2iie;2iif
P0A6Y1,1ihf;1ouz;1owf;1owg;2iie;2iif
P0A6Y5,1hw7;1i7f;1xjh;3m7m
P0A6Y8,1bpr;1dg4;1dkg;1dkx;1dky;1dkz;1q5l;2bpr;2kho;3dpo;3dpp;3dpq;3qnj;4b9q;4e81;4ezn;4ezo;4ezp;4ezq;4ezr;4ezs;4ezt;4ezu;4ezv;4ezw;4ezx;4ezy;4ezz;4f00;4f01;4hy9;4hyb;4jn4;4jne;4jnf;4jwc;4jwd;4jwe;4jwi
P0A6Z1,1u00
P0A6Z3,1sf8;1y4s;1y4u;2gq0;2iop;2ioq;2ior
P0A6Z6,1q5v;1q5y;2hza;2hzv;3bkf;3bkt;3bku;3od2
P0A705,1nd9;1zo1
P0A707,2ife
P0A715,1d9e;1g7u;1g7v;1gg0;1phq;1phw;1pl9;1q3n;1x6u;1x8f
P0A720,1e9f;4tmk;5tmp
P0A722,1lxa;2aq9;2jf2;2jf3;2qia;2qiv;4j09
P0A729,4jhc
P0A731,1b93;1egh;1ik4;1s89;1s8a
P0A734,1ev0;3r9i;3r9j
P0A738,1ekr;1eks
P0A744,1ff3;2gt3;2iem
P0A749,1a2n;1uae;2z2c;3iss;3kqj;3kr6;3swd
P0A752,1k4k;1k4m
P0A754,3eyw;3l9w;3l9x
P0A759,1cd5;1dea;1fqo;1frz;1fs5;1fs6;1fsf;1hor;1hot;1jt9;2wu1
P0A763,2hur
P0A772,3n39;3n3a;3n3b
P0A776,2kdv;2kdw
P0A780,1ey1;3d3b;3d3c;3imq
P0A784,1yta;2igi
P0A786,1acm;1at1;1d09;1ekx;1ezz;1f1b;1gq3;1i5o;1nbe;1q95;1r0b;1r0c;1raa;1rab;1rac;1rad;1rae;1raf;1rag;1rah;1rai;1sku;1tth;1tu0;1tug;1xjw;1za1;1za2;2a0f;2air;2at1;2atc;2fzc;2fzg;2fzk;2h3e;2hse;2ipo;2qg9;2qgf;3at1;3csu;3d7s;3mpu;3npm;4at1;4e2f;4f04;4fyv;4fyw;4fyx;4fyy;5at1;6at1;7at1;8at1;8atc;9atc
P0A790,1aw8;1ppy;1pqe;1pqf;1pqh;1pt0;1pt1;1pyq;1pyu;3tm7;4aok;4aon;4azd
P0A794,1ho1;1ho4;1ixn;1ixo;1ixp;1ixq;1m5w
P0A796,1pfk;2pfk
P0A799,1zmr
P0A7A5,3lbf
P0A7A9,1faj;1i40;1i6t;1igp;1ino;1ipw;1jfd;1mjw;1mjx;1mjy;1mjz;1obw;2au6;2au7;2au8;2au9;2auu;2eip
P0A7B1,1xdo;1xdp
P0A7B5,2j5t;2j5v;2w21
P0A7B8,1e94;1g4a;1g4b;1hqy;1ht1;1ht2;1ned;4g4e
P0A7C2,1jhc;1jhe;1jhf;1jhh;1lea;1leb;3jso;3jsp;3k3r
P0A7D1,2pth;3vjr
P0A7D4,1ade;1adi;1cg0;1cg1;1cg3;1cg4;1ch8;1cib;1gim;1gin;1hon;1hoo;1hop;1juy;1kjx;1kkb;1kkf;1ksz;1nht;1qf4;1qf5;1son;1soo;2gcq
P0A7D7,2gqr;2gqs
P0A7E1,1f76
P0A7E3,1oro
P0A7E5,1s1m;2ad5
P0A7E9,2bnd;2bne;2bnf;2v4y
P0A7F3,1acm;1at1;1d09;1ezz;1f1b;1i5o;1nbe;1q95;1r0b;1r0c;1raa;1rab;1rac;1rad;1rae;1raf;1rag;1rah;1rai;1sku;1tth;1tu0;1tug;1xjw;1za1;1za2;2a0f;2air;2at1;2atc;2fzc;2fzg;2fzk;2h3e;2hse;2ipo;2qg9;2qgf;3at1;3d7s;3mpu;4at1;4e2f;4f04;4fyv;4fyw;4fyx;4fyy;5at1;6at1;7at1;8at1;8atc;9atc
P0A7G2,1kkg
P0A7G6,1aa3;1n03;1rea;1u94;1u98;1u99;1xms;1xmv;2reb;2rec;3cmt;3cmu;3cmv;3cmw;3cmx
P0A7I0,2b3t
P0A7I4,2o0f;3sfs;3uoq;3zvo
P0A7I6,2h5e
P0A7I7,2bz0;2bz1
P0A7J0,1g57;1g58;1iez
P0A7J3,3j0t;3j0w;3j0y;3j11;3j12;3j14;3j37;3j5o;3j5u;3j5w;3sgf;3uos;4kix;4kiz;4kj1;4kj5;4kj9
P0A7J7,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3deg;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0d;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7K0,2qoz;2qp1
P0A7K2,1ctf;1rqs;1rqt;1rqu;1rqv;2bcw;2gya;2gyc;2xtg;2xux;3j5o;3j5w;3sgf;3uos;4kix
P0A7K6,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7K7,3df4
P0A7L0,2gya;2gyc;2rdo;2wwq;3e1b;3e1d;3fik;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j37;3j46;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5s;3j5u;3j5w;3kcr
P0A7L3,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7L7,2qoz
P0A7L8,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7M2,1vt2;2i2t;2i2v;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2wwq;2z4l;2z4n;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7M6,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2vrh;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j45;3j46;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7M9,1vs6;1vs8;2aw4;2awb;2j28;2rdo;2vhm;2vhn;3bbx;3e1b;3e1d;3izt;3izu;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j37
P0A7N4,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qp1;2rdo;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7N5,2qoz
P0A7N9,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qox;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5s;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7P0,2qov
P0A7P1,2qoz;3df4
P0A7P5,1vs6;1vs8;1vt2;2aw4;2awb;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7P9,2qoz
P0A7Q1,1vs6;1vs8;1vt2;2aw4;2awb;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7Q2,3df2
P0A7Q6,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3df2;3df4;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;3sgf;3uos;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7R0,2qov
P0A7R1,1p85;1p86;1vs6;1vs8;1vt2;2aw4;2awb;2gya;2gyc;2i2t;2i2v;2j28;2qam;2qao;2qba;2qbc;2qbe;2qbg;2qbi;2qbk;2qov;2qox;2qoz;2qp1;2rdo;2vhm;2vhn;2wwq;2z4l;2z4n;3bbx;3e1b;3e1d;3fik;3i1n;3i1p;3i1r;3i1t;3i20;3i22;3izt;3izu;3j01;3j0t;3j0w;3j0y;3j11;3j12;3j14;3j19;3j37;3j4x;3j50;3j51;3j52;3j54;3j56;3j58;3j5a;3j5c;3j5e;3j5g;3j5i;3j5k;3j5l;3j5o;3j5u;3j5w;3kcr;3oas;3oat;3ofc;3ofd;3ofq;3ofr;3ofz;3og0;3orb;3r8s;3r8t;4gar;4gau;4kix;4kiz;4kj1;4kj3;4kj5;4kj7;4kj9;4kjb
P0A7R5,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2kvq;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3d3b;3d3c;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3imq;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;3w1y;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7R9,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3df3;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7S3,1p6g;1p87;1vs5;1vs7;1zn1;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3deg;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0d;3j0e;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7S4,2ykr;3df3
P0A7S9,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7T0,3df1
P0A7T3,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7T7,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qow;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7U1,2qoy
P0A7U3,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7U7,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3df1;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7V0,1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3df1;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7V2,3df3
P0A7V3,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qow;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7V4,2qp0
P0A7V7,2qou
P0A7V8,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7V9,3df3
P0A7W1,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3df1;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7W3,3df3
P0A7W7,1p6g;1p87;1s03;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qow;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7W9,3df3
P0A7X2,2qou
P0A7X3,1p6g;1p87;1vs5;1vs7;2avy;2aw7;2gy9;2gyb;2i2p;2i2u;2qal;2qan;2qb9;2qbb;2qbd;2qbf;2qbh;2qbj;2qou;2qow;2qoy;2qp0;2wwl;2z4k;2z4m;3e1a;3e1c;3fih;3i1m;3i1o;3i1q;3i1s;3i1z;3i21;3j00;3j0u;3j0v;3j0x;3j0z;3j10;3j13;3j18;3j36;3j4v;3j4w;3j4y;3j4z;3j53;3j55;3j57;3j59;3j5b;3j5d;3j5f;3j5h;3j5j;3j5n;3j5t;3j5x;3kc4;3oaq;3oar;3ofa;3ofb;3ofo;3ofp;3ofx;3ofy;3or9;3ora;3sfs;3uoq;4a2i;4adv;4gaq;4gas;4gd1;4gd2;4kiy;4kj0;4kj2;4kj4;4kj6;4kj8;4kja;4kjc
P0A7X4,3df1
P0A7Y4,1f21;1g15;1goa;1gob;1goc;1jl1;1jl2;1jxb;1kva;1kvb;1kvc;1lav;1law;1rbr;1rbs;1rbt;1rbu;1rbv;1rch;1rda;1rdb;1rdc;1rdd;1rnh;1wse;1wsf;1wsg;1wsh;1wsi;1wsj;2rn2;2yv0;2z1g;2z1h;2z1i;2z1j;3aa2;3aa3;3aa4;3aa5;3hyf;3qin;3qio
P0A7Y8,2ljp
P0A7Z0,1ks2;1lkz;1o8b
