MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL770	Tolazoline	Small molecule	1985	M02AX02; C04AB02	M02AX02 [Musculo-Skeletal System:Topical Products For Joint And Muscular Pain:Topical Products For Joint And Muscular Pain:Other topical products for joint and muscular pain]; C04AB02 [Cardiovascular System:Peripheral Vasodilators:Peripheral Vasodilators:Imidazoline derivatives]	-azoline	Histamine H1 receptor agonist			CHEMBL231	Histamine H1 receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=0b94baa5-5af2-46e9-8111-519225206a28, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0b94baa5-5af2-46e9-8111-519225206a28|Name:ISBN, SrcID:9780702034718 PP. 12, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:6386273, URL:http://europepmc.org/abstract/MED/6386273|Name:PubMed, SrcID:8487790, URL:http://europepmc.org/abstract/MED/8487790	C(C1=NCCN1)c2ccccc2
CHEMBL799	Cilostazol	Small molecule	1999	B01AC23	B01AC23 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Platelet aggregation inhibitors excl. heparin]		Phosphodiesterase 3A inhibitor			CHEMBL241	Phosphodiesterase 3A	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=ada307f1-b6b1-4b64-a060-5c254b1948f2, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ada307f1-b6b1-4b64-a060-5c254b1948f2	O=C1CCc2cc(OCCCCc3nnnn3C4CCCCC4)ccc2N1
CHEMBL803	Cytarabine	Small molecule	1969	L01BC01	L01BC01 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Antimetabolites:Pyrimidine analogues]	-arabine	DNA inhibitor			CHEMBL2311221	DNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:DailyMed, SrcID:setid=1315f89d-f530-4dff-98e5-27d51617d4a1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1315f89d-f530-4dff-98e5-27d51617d4a1	NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O
CHEMBL807	Memantine	Small molecule	2003	N06DX01	N06DX01 [Nervous System:Psychoanaleptics:Anti-Dementia Drugs:Other anti-dementia drugs]	-mantine	Glutamate [NMDA] receptor negative allosteric modulator			CHEMBL2094124	Glutamate [NMDA] receptor	NEGATIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP			Name:FDA, SrcID:label/2003/021487lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/021487lbl.pdf	CC12CC3CC(C)(C1)CC(N)(C3)C2
CHEMBL809	Sertraline	Small molecule	1991	N06AB06	N06AB06 [Nervous System:Psychoanaleptics:Antidepressants:Selective serotonin reuptake inhibitors]	-traline	Serotonin transporter inhibitor	reuptake inhibitor		CHEMBL228	Serotonin transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=4a0afc61-f83d-4871-86eb-929c9428a1e3, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4a0afc61-f83d-4871-86eb-929c9428a1e3	CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13
CHEMBL288441	Bosutinib	Small molecule	2010	L01XE14	L01XE14 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]	-tinib	Tyrosine-protein kinase ABL inhibitor			CHEMBL1862	Tyrosine-protein kinase ABL	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:Expert, SrcID:BOSUTINIB, URL:http://chembl.blogspot.co.uk/search?q=BOSUTINIB	COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
CHEMBL842	Chlorothiazide	Small molecule	1958	C03AA04; C03AH01	C03AA04 [Cardiovascular System:Diuretics:Low-Ceiling Diuretics, Thiazides:Thiazides, plain]; C03AH01 [Cardiovascular System:Diuretics:Low-Ceiling Diuretics, Thiazides:Thiazides, combinations with psycholeptics and/or analgesics]	-thiazide	Thiazide-sensitive sodium-chloride cotransporter inhibitor			CHEMBL1876	Thiazide-sensitive sodium-chloride cotransporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DOI, SrcID:10.1056/NEJMra0907219, URL:http://www.nejm.org/doi/full/10.1056/NEJMra0907219	NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
CHEMBL848	Lenalidomide	Small molecule	2005	L04AX04	L04AX04 [Antineoplastic And Immunomodulating Agents:Immunosuppressants:Immunosuppressants:Other immunosuppressants]	-domide	Unknown	Mode of action not fully understood; it seems to reduce TNF-alpha synthesis									Name:DailyMed, SrcID:setid=5fa97bf5-28a2-48f1-8955-f56012d296be#section-14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5fa97bf5-28a2-48f1-8955-f56012d296be#section-14|Name:PubMed, SrcID:15197211, URL:http://europepmc.org/abstract/MED/15197211|Name:PubMed, SrcID:17369076, URL:http://europepmc.org/abstract/MED/17369076|Name:PubMed, SrcID:8496685, URL:http://europepmc.org/abstract/MED/8496685	Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O
CHEMBL856	Primidone	Small molecule	1954	N03AA03	N03AA03 [Nervous System:Antiepileptics:Antiepileptics:Barbiturates and derivatives]		Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:ISBN, SrcID:9780702034718 PP. 546-548, URL:http://www.isbnsearch.org/isbn/9780702034718	CCC1(C(=O)NCNC1=O)c2ccccc2
CHEMBL877	Tranexamic Acid	Small molecule	1986	B02AA02	B02AA02 [Blood And Blood Forming Organs:Antihemorrhagics:Antifibrinolytics:Amino acids]		Plasminogen inhibitor			CHEMBL1801	Plasminogen	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=6e89a7d9-4da4-42aa-b7f8-c602c24eefe5#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6e89a7d9-4da4-42aa-b7f8-c602c24eefe5#nlm34090-1	NC[C@@H]1CC[C@H](CC1)C(=O)O
CHEMBL880	Famciclovir	Small molecule	1994	S01AD07; J05AB09	S01AD07 [Sensory Organs:Ophthalmologicals:Antiinfectives:Antivirals]; J05AB09 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Nucleosides and nucleotides excl. reverse transcriptase inhibitors]	-vir	Human herpesvirus 1 DNA polymerase inhibitor			CHEMBL1872	Human herpesvirus 1 DNA polymerase	INHIBITOR	Herpes simplex virus (type 1 / strain 17)	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=3cd2e7f1-cbdb-47f6-b37f-830aaaef2482, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3cd2e7f1-cbdb-47f6-b37f-830aaaef2482	CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C
CHEMBL296306	Lactitol	Small molecule	1976	A06AD12; A06AD61; A06AD11	A06AD12 [Alimentary Tract And Metabolism:Drugs For Constipation:Drugs For Constipation:Osmotically acting laxatives]; A06AD61 [Alimentary Tract And Metabolism:Drugs For Constipation:Drugs For Constipation:Osmotically acting laxatives]; A06AD11 [Alimentary Tract And Metabolism:Drugs For Constipation:Drugs For Constipation:Osmotically acting laxatives]		Colonic bacteria substrate	Increases water content in the colon									Name:DailyMed, SrcID:setid=461ec39f-eeb4-4460-9b5c-62367d47162b#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=461ec39f-eeb4-4460-9b5c-62367d47162b#nlm34090-1|Name:PubMed, SrcID:21856402, URL:http://europepmc.org/abstract/MED/21856402	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
CHEMBL1257	Enflurane	Small molecule	1972	N01AB04	N01AB04 [Nervous System:Anesthetics:Anesthetics, General:Halogenated hydrocarbons]	-flurane	GABA-A receptor; anion channel positive modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP		Likely allosteric but unclear whether benzodiazepine or barbiturate site involved	Name:PubMed, SrcID:11465594, URL:http://europepmc.org/abstract/MED/11465594|Name:PubMed, SrcID:16402123, URL:http://europepmc.org/abstract/MED/16402123|Name:PubMed, SrcID:16973644, URL:http://europepmc.org/abstract/MED/16973644	FC(F)OC(F)(F)C(F)Cl
CHEMBL1265	Adapalene	Small molecule	1996	D10AD53; D10AD03	D10AD53 [Dermatologicals:Anti-Acne Preparations:Anti-Acne Preparations For Topical Use:Retinoids for topical use in acne]; D10AD03 [Dermatologicals:Anti-Acne Preparations:Anti-Acne Preparations For Topical Use:Retinoids for topical use in acne]		Retinoic acid receptor beta agonist			CHEMBL2008	Retinoic acid receptor beta	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:10651997, URL:http://europepmc.org/abstract/MED/10651997|Name:PubMed, SrcID:18848668, URL:http://europepmc.org/abstract/MED/18848668	COc1ccc(cc1C23CC4CC(CC(C4)C2)C3)c5ccc6cc(ccc6c5)C(=O)O
CHEMBL1289	Haloprogin	Small molecule	1982	D01AE11	D01AE11 [Dermatologicals:Antifungals For Dermatological Use:Antifungals For Topical Use:Other antifungals for topical use]		Cell membrane inhibitor	Disrupts cell membrane		CHEMBL2364033	Cell membrane	INHIBITOR	Trichophyton	SUBCELLULAR			Name:PubMed, SrcID:4608935, URL:http://europepmc.org/abstract/MED/4608935	Clc1cc(Cl)c(OCC#CI)cc1Cl
CHEMBL1290	Penbutolol	Small molecule	1987	C07AA23	C07AA23 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, non-selective]	-olol	Beta-2 adrenergic receptor antagonist			CHEMBL210	Beta-2 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=d241fc80-2c55-4dbb-bdb2-44f731afa137, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d241fc80-2c55-4dbb-bdb2-44f731afa137	CC(C)(C)NC[C@H](O)COc1ccccc1C2CCCC2
CHEMBL1316	Carprofen	Small molecule	1987			-profen	Cyclooxygenase-2 inhibitor		Selective	CHEMBL230	Cyclooxygenase-2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=8257d939-ad54-415f-91ce-21ec7f874a68, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8257d939-ad54-415f-91ce-21ec7f874a68	CC(C(=O)O)c1ccc2c(c1)[nH]c3ccc(Cl)cc23
CHEMBL1336	Sorafenib	Small molecule	2005	L01XE05	L01XE05 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]	-rafenib	Tyrosine-protein kinase receptor RET inhibitor			CHEMBL2041	Tyrosine-protein kinase receptor RET	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2011/021923s012lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021923s012lbl.pdf	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
CHEMBL1336	Sorafenib	Small molecule	2005	L01XE05	L01XE05 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]	-rafenib	Platelet-derived growth factor receptor beta inhibitor			CHEMBL1913	Platelet-derived growth factor receptor beta	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2011/021923s012lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021923s012lbl.pdf	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
CHEMBL1337	Nitisinone	Small molecule	2002	A16AX04	A16AX04 [Alimentary Tract And Metabolism:Other Alimentary Tract And Metabolism Products:Other Alimentary Tract And Metabolism Products:Various alimentary tract and metabolism products]		4-hydroxyphenylpyruvate dioxygenase inhibitor			CHEMBL1861	4-hydroxyphenylpyruvate dioxygenase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=1eecf439-77ff-40c8-aef8-71e024ea8b7c#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1eecf439-77ff-40c8-aef8-71e024ea8b7c#nlm34090-1	[O-][N+](=O)c1cc(ccc1C(=O)C2C(=O)CCCC2=O)C(F)(F)F
CHEMBL354541	Lomitapide	Small molecule	2012	C10AX12	C10AX12 [Cardiovascular System:Lipid Modifying Agents:Lipid Modifying Agents, Plain:Other lipid modifying agents]	-tapide	Microsomal triglyceride transfer protein inhibitor			CHEMBL2364681	Microsomal triglyceride transfer protein	INHIBITOR	Homo sapiens	PROTEIN COMPLEX	Microsomal triglyceride transfer protein large subunit	Large subunit (P55157) is binding site	Name:DailyMed, SrcID:setid=e4c45bb5-15f4-437e-ab98-a649b3676d14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e4c45bb5-15f4-437e-ab98-a649b3676d14	FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)c3ccccc3c4ccc(cc4)C(F)(F)F)c5ccccc5c6ccccc16
CHEMBL1356	Sodium Benzoate	Small molecule	1987				Unknown										Name:FDA, SrcID:label/2011/020645s008lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020645s008lbl.pdf	[Na+].[O-]C(=O)c1ccccc1
CHEMBL1359	Ertapenem	Small molecule	2001	J01DH03	J01DH03 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Other Beta-Lactam Antibacterials:Carbapenems]	-penem	Bacterial penicillin-binding protein inhibitor			CHEMBL2354204	Bacterial penicillin-binding protein	INHIBITOR	Bacteria	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=33f3b99b-fa82-42e0-26bf-f49891ae3d22, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=33f3b99b-fa82-42e0-26bf-f49891ae3d22	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)Nc4cccc(c4)C(=O)O
CHEMBL184412	Dronedarone	Small molecule	2009	C01BD07	C01BD07 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class III]	-arone	HERG blocker	Dronedarone has antiarrhythmic properties belonging to all four Vaughan-Williams classes, but the contribution of each of these activities to the clinical effect is unknown		CHEMBL240	HERG	BLOCKER	Homo sapiens	SINGLE PROTEIN			Name:Expert, SrcID:DRONEDARONE, URL:http://chembl.blogspot.co.uk/search?q=DRONEDARONE|Name:FDA, SrcID:label/2013/022425s021lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/022425s021lbl.pdf	CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(NS(=O)(=O)C)cc23
CHEMBL439849	Vilazodone	Small molecule	2011	N06AX24	N06AX24 [Nervous System:Psychoanaleptics:Antidepressants:Other antidepressants]		Serotonin transporter inhibitor			CHEMBL228	Serotonin transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2012/022567s005lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022567s005lbl.pdf|Name:PubMed, SrcID:15740724, URL:http://europepmc.org/abstract/MED/15740724	NC(=O)c1oc2ccc(cc2c1)N3CCN(CCCCc4c[nH]c5ccc(cc45)C#N)CC3
CHEMBL1378	Thiethylperazine	Small molecule	1961	R06AD03	R06AD03 [Respiratory System:Antihistamines For Systemic Use:Antihistamines For Systemic Use:Phenothiazine derivatives]		Dopamine D2 receptor antagonist			CHEMBL217	Dopamine D2 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:ISBN, SrcID:9780702034718 PP. 367, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:239403, URL:http://europepmc.org/abstract/MED/239403	CCSc1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1
CHEMBL370143	Paromomycin	Small molecule	1969	A07AA06	A07AA06 [Alimentary Tract And Metabolism:Antidiarrheals, Intestinal Antiinflammatory/Antiinfective :Intestinal Antiinfectives:Antibiotics]	-mycin	Bacterial 70S ribosome inhibitor			CHEMBL2363135	Bacterial 70S ribosome	INHIBITOR	Bacteria	PROTEIN NUCLEIC-ACID COMPLEX	16S ribosomal RNA	16s RRNA	Name:DailyMed, SrcID:setid=ad56c3a5-8461-473d-9b04-57621302c9c4#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ad56c3a5-8461-473d-9b04-57621302c9c4#nlm34090-1|Name:PubMed, SrcID:11587639, URL:http://europepmc.org/abstract/MED/11587639	NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
CHEMBL1389	Levonorgestrel	Small molecule	1982	G03AD01	G03AD01 [Genito Urinary System And Sex Hormones:Sex Hormones And Modulators Of The Genital System:Hormonal Contraceptives For Systemic Use:Emergency contraceptives]	-gest-	Progesterone receptor agonist			CHEMBL208	Progesterone receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:19434887, URL:http://europepmc.org/abstract/MED/19434887	CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
CHEMBL1396	Varenicline	Small molecule	2006	N07BA03	N07BA03 [Nervous System:Other Nervous System Drugs:Drugs Used In Addictive Disorders:Drugs used in nicotine dependence]	-nicline	Neuronal acetylcholine receptor; alpha4/beta2 agonist			CHEMBL1907589	Neuronal acetylcholine receptor; alpha4/beta2	AGONIST	Homo sapiens	PROTEIN COMPLEX			Name:DailyMed, SrcID:setid=27c6abf0-6551-4333-980d-309b9c1eeba3#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=27c6abf0-6551-4333-980d-309b9c1eeba3#nlm34090-1	C1NCC2CC1c3cc4nccnc4cc23
CHEMBL177	Amikacin	Small molecule	1981	D06AX12; J01GB06; S01AA21	D06AX12 [Dermatologicals:Antibiotics And Chemotherapeutics For Dermatological Use:Antibiotics For Topical Use:Other antibiotics for topical use]; J01GB06 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Aminoglycoside Antibacterials:Other aminoglycosides]; S01AA21 [Sensory Organs:Ophthalmologicals:Antiinfectives:Antibiotics]	-kacin	Bacterial 70S ribosome inhibitor			CHEMBL2363135	Bacterial 70S ribosome	INHIBITOR	Bacteria	PROTEIN NUCLEIC-ACID COMPLEX	16S ribosomal RNA	16s RRNA	Name:PubMed, SrcID:10702385, URL:http://europepmc.org/abstract/MED/10702385|Name:PubMed, SrcID:17875999, URL:http://europepmc.org/abstract/MED/17875999	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O
CHEMBL1420	Pralidoxime	Small molecule	1964	V03AB04	V03AB04 [Various:All Other Therapeutic Products:All Other Therapeutic Products:Antidotes]		Acetylcholinesterase activator	reactivates acetylcholinesterase deactivated by organophosphates		CHEMBL220	Acetylcholinesterase	ACTIVATOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=a16ac225-bb32-4b27-bb66-9e152cf065eb, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a16ac225-bb32-4b27-bb66-9e152cf065eb|Name:KEGG, SrcID:D00469, URL:http://www.kegg.jp/dbget-bin/www_bget?dr:D00469	C[n+]1ccccc1C=NO
CHEMBL1421	Dasatinib	Small molecule	2006	L01XE06	L01XE06 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]	-tinib	Tyrosine-protein kinase LCK inhibitor			CHEMBL258	Tyrosine-protein kinase LCK	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=0e7f054c-7a27-4192-bd1c-6115d8be858f#section-13, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0e7f054c-7a27-4192-bd1c-6115d8be858f#section-13	Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4
CHEMBL1425	Mercaptopurine	Small molecule	1953	L01BB02	L01BB02 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Antimetabolites:Purine analogues]		DNA inhibitor	Prodrug enzyme: hypoxanthine-guanine phosphoribosyl transferase (HGPRT; ec 2.4.2.8)		CHEMBL2311221	DNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:DailyMed, SrcID:setid=15904472-4c32-4224-95d3-eb131a7ff9c8, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=15904472-4c32-4224-95d3-eb131a7ff9c8|Name:PubMed, SrcID:18506437, URL:http://europepmc.org/abstract/MED/18506437	Sc1ncnc2nc[nH]c12
CHEMBL374478	Rifampicin	Small molecule	1971	J04AB02	J04AB02 [Antiinfectives For Systemic Use:Antimycobacterials:Drugs For Treatment Of Tuberculosis:Antibiotics]	-pin(e); rifa-	Bacterial DNA-directed RNA polymerase inhibitor			CHEMBL2364672	Bacterial DNA-directed RNA polymerase	INHIBITOR	Bacteria	PROTEIN COMPLEX	RNA polymerase beta/beta prime subunit	Beta subunit is binding site	Name:PubMed, SrcID:11290327, URL:http://europepmc.org/abstract/MED/11290327|Name:PubMed, SrcID:20185278, URL:http://europepmc.org/abstract/MED/20185278|Name:PubMed, SrcID:4942761, URL:http://europepmc.org/abstract/MED/4942761	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O
CHEMBL1201571	Alefacept	Protein	2003	L04AA15	L04AA15 [Antineoplastic And Immunomodulating Agents:Immunosuppressants:Immunosuppressants:Selective immunosuppressants]	-cept	T-cell surface antigen CD2 inhibitor			CHEMBL2040	T-cell surface antigen CD2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:archiveid=20297, URL:http://dailymed.nlm.nih.gov/dailymed/archives/fdaDrugInfo.cfm?archiveid=20297|Name:FDA, SrcID:label/2012/125036s0144lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/125036s0144lbl.pdf	
CHEMBL1201505	Fibrinolysin, Human	Unknown	1964	B01AD05	B01AD05 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Enzymes]		Fibrinogen inhibitor			CHEMBL2364709	Fibrinogen	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:124138, URL:http://europepmc.org/abstract/MED/124138	
CHEMBL1201506	Gemtuzumab Ozogamicin	Antibody	2000	L01XC05	L01XC05 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Monoclonal antibodies]	-mab	DNA inhibitor	intercalates DNA and causes double strand breakage		CHEMBL2311221	DNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:DailyMed, SrcID:setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05	
CHEMBL1201506	Gemtuzumab Ozogamicin	Antibody	2000	L01XC05	L01XC05 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Monoclonal antibodies]	-mab	Myeloid cell surface antigen CD33  binding agent	targets ozogamicin to cell		CHEMBL1842	Myeloid cell surface antigen CD33 	BINDING AGENT	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05	
CHEMBL1201459	Desoxyribonuclease	Enzyme	1964	B06AA10	B06AA10 [Blood And Blood Forming Organs:Other Hematological Agents:Other Hematological Agents:Enzymes]	-ase	DNA hydrolytic enzyme			CHEMBL2311221	DNA	HYDROLYTIC ENZYME	Homo sapiens	NUCLEIC-ACID			Name:PubMed, SrcID:124138, URL:http://europepmc.org/abstract/MED/124138	
CHEMBL1201546	Insulin Zinc Susp Purified Beef	Unknown	1980				Insulin receptor agonist			CHEMBL1981	Insulin receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=457531f0-9331-47fe-90b5-b31f284044dc, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=457531f0-9331-47fe-90b5-b31f284044dc	
CHEMBL1201585	Trastuzumab	Antibody	1998	L01XC03	L01XC03 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Monoclonal antibodies]	-mab	Receptor protein-tyrosine kinase erbB-2 inhibitor			CHEMBL1824	Receptor protein-tyrosine kinase erbB-2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=492dbdb2-077e-4064-bff3-372d6af0a7a2, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=492dbdb2-077e-4064-bff3-372d6af0a7a2	
CHEMBL1201608	Muromonab-Cd3	Antibody	1986	L04AA02	L04AA02 [Antineoplastic And Immunomodulating Agents:Immunosuppressants:Immunosuppressants:Selective immunosuppressants]		T cell surface glycoprotein CD3 inhibitor			CHEMBL2364168	T cell surface glycoprotein CD3	INHIBITOR	Homo sapiens	PROTEIN COMPLEX	CD3 epsilon subunit	Epsilon is binding site	Name:DailyMed, SrcID:setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a1f1c18-fa95-45e6-bd00-ac53c73f4747|Name:PubMed, SrcID:15136729, URL:http://europepmc.org/abstract/MED/15136729	
